Date Occurred,Victim Sex,Latitude,Longitude,Ethnicity
2014-07-31,F,34.0489,-118.5397,Hispanic
2012-08-29,M,33.991,-118.3171,White
2014-10-21,F,34.2282,-118.5579,White
2012-05-18,F,33.9771,-118.2918,Hispanic
2013-02-17,F,34.1732,-118.6152,Hispanic
2019-05-10,M,34.2248,-118.5151,Other/Unknown
2014-11-14,F,34.2214,-118.4808,Other/Unknown
2018-08-31,F,33.7152,-118.2907,White
2019-03-03,M,33.9891,-118.3264,Hispanic
2010-12-09,F,34.0456,-118.4519,White
2010-10-30,M,34.1939,-118.4749,Hispanic
2019-04-25,M,34.0382,-118.2889,Hispanic
2019-10-24,M,33.9271,-118.276,Other/Unknown
2015-07-25,M,34.2546,-118.4379,Hispanic
2019-08-26,M,34.0793,-118.2148,Hispanic
2016-05-18,M,34.1104,-118.1884,Hispanic
2019-01-22,M,34.0462,-118.4361,White
2010-04-24,M,34.0618,-118.2992,White
2011-12-21,M,33.9859,-118.2915,Other/Unknown
2012-10-05,X,34.0543,-118.3964,Other/Unknown
2012-03-07,M,34.2085,-118.4488,White
2016-04-10,M,34.0459,-118.346,Other/Unknown
2015-08-31,M,34.1866,-118.5098,Other/Unknown
2016-09-27,F,33.9947,-118.4444,Hispanic
2018-05-05,F,34.1263,-118.5094,White
2010-02-05,F,34.0358,-118.4562,Hispanic
2016-08-30,F,34.0476,-118.2477,Other/Unknown
2018-05-28,M,33.9457,-118.2419,Other/Unknown
2016-12-19,M,34.1018,-118.3005,Other/Unknown
2019-06-11,M,34.1161,-118.2724,Other/Unknown
2016-10-01,F,34.0545,-118.1949,Hispanic
2019-11-11,M,34.0527,-118.1969,Hispanic
2017-01-06,M,33.9474,-118.2541,Black
2019-08-18,M,33.9337,-118.2555,Hispanic
2019-10-24,M,34.0109,-118.3045,Hispanic
2019-02-27,M,34.1504,-118.4225,White
2013-03-17,M,34.1885,-118.3965,White
2014-08-27,M,34.0326,-118.335,White
2015-07-28,F,34.1867,-118.4444,Black
2018-11-25,M,33.9256,-118.2652,Hispanic
2015-01-26,F,34.063,-118.2153,Other/Unknown
2018-04-09,F,34.1763,-118.5076,Other/Unknown
2014-10-09,F,33.9707,-118.2893,Black
2017-04-07,F,34.1054,-118.3006,White
2011-09-23,M,33.9972,-118.4592,White
2017-05-17,M,34.1085,-118.2138,White
2012-08-02,M,34.0526,-118.3042,Other/Unknown
2011-03-03,M,34.2355,-118.5361,White
2015-08-16,F,34.2473,-118.4316,Hispanic
2017-12-19,M,34.1114,-118.3362,White
2016-03-20,F,34.0262,-118.3002,Hispanic
2015-04-11,F,33.9438,-118.2695,Hispanic
2018-08-28,F,33.9873,-118.4403,Hispanic
2017-09-12,F,34.0595,-118.3762,White
2011-08-17,F,34.1077,-118.2918,White
2017-05-24,F,34.0998,-118.3267,White
2010-05-22,M,34.1726,-118.5622,Black
2019-07-31,M,34.0343,-118.4478,Other/Unknown
2014-02-03,M,34.0456,-118.3681,Other/Unknown
2018-10-02,M,34.1505,-118.4458,Other/Unknown
2011-11-10,F,34.0503,-118.3163,Hispanic
2014-08-09,M,34.1016,-118.3433,Hispanic
2012-03-20,M,34.1564,-118.4836,White
2010-01-31,F,34.0524,-118.2907,Hispanic
2017-03-02,F,34.0571,-118.3847,White
2016-12-21,M,33.9748,-118.2652,Black
2014-07-13,F,34.1847,-118.4422,Black
2011-05-19,M,34.0385,-118.2811,Hispanic
2011-12-21,F,34.0267,-118.3721,Hispanic
2019-07-02,M,34.0469,-118.2032,Other/Unknown
2012-07-26,M,33.9455,-118.3785,Black
2012-12-06,M,34.0517,-118.2491,Hispanic
2011-10-12,M,34.2217,-118.4366,Hispanic
2018-05-12,F,34.1794,-118.4574,Other/Unknown
2016-11-18,M,34.2195,-118.6147,White
2016-05-27,M,34.2179,-118.4626,Other/Unknown
2017-04-01,M,34.0527,-118.3101,Asian
2016-07-16,X,33.979,-118.3112,Other/Unknown
2015-02-11,M,34.0508,-118.309,Black
2010-06-18,M,34.1866,-118.4924,Other/Unknown
2019-12-07,F,33.9556,-118.2717,Hispanic
2019-12-08,M,34.0256,-118.3177,Black
2019-02-23,F,34.2011,-118.536,Hispanic
2016-12-02,F,34.0194,-118.3089,Hispanic
2011-05-26,F,34.277,-118.4591,White
2016-10-19,M,34.0625,-118.1862,Other/Unknown
2016-03-22,F,34.1083,-118.3371,Hispanic
2012-06-17,M,34.2207,-118.4173,Other/Unknown
2011-10-22,M,34.0439,-118.2337,Hispanic
2017-11-29,M,34.008,-118.3351,Other/Unknown
2010-12-31,M,34.3223,-118.4602,Asian
2012-06-20,M,34.0453,-118.4329,Other/Unknown
2010-08-21,M,33.982,-118.2564,Hispanic
2016-07-17,M,33.991,-118.3138,Black
2019-02-25,F,34.2391,-118.5425,Other/Unknown
2017-11-23,X,34.0291,-118.3089,Other/Unknown
2010-10-29,F,34.0653,-118.365,White
