Date Occurred,Victim Sex,MO Codes,Latitude,Longitude,Ethnicity
2019-07-03,M,3101 3401 3701 3006 3034 3801,34.0945,-118.259,Hispanic
2019-05-11,M,3701 3006 3030 3034 3801 3401 3101,34.0066,-118.2652,Hispanic
2019-07-03,F,3101 3401 3701 3011 3025 3801,34.0216,-118.2607,Black
2019-07-09,M,3101 3401 3701 3006 3801,34.0488,-118.2817,Hispanic
2019-07-07,M,3101 3401 3701 3006 3801 3602,33.9747,-118.2739,Hispanic
2019-07-09,M,3101 3401 3701 3003 3026 3801,33.9893,-118.2608,Hispanic
2019-07-07,M,3101 3401 3701 3006 3801 3602,34.0101,-118.261,Hispanic
2018-12-31,M,3101 3401 3701 3003 3027 3801,34.0814,-118.2962,Hispanic
2019-08-23,M,3101 3401 3701 3004 3801 3602,34.0652,-118.2492,Hispanic
2019-08-20,M,3101 3401 3701 3006 3025 3801 3030,34.0323,-118.2169,Hispanic
2019-08-13,M,3101 3401 3701 3008 3024 3029 3801 3602,34.0149,-118.2397,Hispanic
2019-08-29,M,3101 3401 3701 3004 3034 3801 3036,34.091,-118.2234,Other/Unknown
2019-08-26,M,3101 3401 3701 3006 3030 3602 3801,34.0462,-118.2114,Hispanic
2019-08-29,M,3801 3101 3401 3701 3001 3034 3602,34.0763,-118.2613,White
2019-08-26,F,3101 3401 3701 3011 3030 3032 3602 3801,34.0437,-118.2098,Hispanic
2019-08-30,M,3101 3401 3701 3006 3801,34.0403,-118.2308,Hispanic
2019-08-26,F,3101 3401 3701 3006 3026 3801,34.0609,-118.2823,White
2019-08-25,M,3101 3401 3701 3004 3801,34.0773,-118.2489,Other/Unknown
2019-08-26,M,3101 3401 3701 3004 3026 3801 3036,34.0276,-118.2477,Hispanic
2019-08-27,M,3101 3401 3701 3004 3030 3602 3801,34.0437,-118.2098,Hispanic
2019-08-25,M,3101 3401 3701 3004 3801 3036,34.0466,-118.2174,Hispanic
2019-08-25,M,3101 3401 3701 3011 3801,34.0724,-118.247,Hispanic
2017-11-04,M,3101 3401 3701 3006 3801 0605,34.0986,-118.1554,Black
2017-01-01,M,3101 3401 3701 3006 3801,34.0039,-118.2392,Hispanic
2019-04-24,F,3101 3401 3701 3004 3801,34.0237,-118.2512,Black
2012-11-18,M,3011 3028 3033 3035 3037 3101 3401 3701 3801 4026,34.235,-118.2905,White
2012-11-11,M,3028 3030 3035 3037 3101 3401 3701 3801 4019 3006,34.2319,-118.4644,Hispanic
2012-03-27,M,3035 3801 3101 3030 0605 3028 3006,34.0691,-118.2941,Hispanic
